"time","latitude","longitude","depth","mag","magType","nst","gap","dmin","rms","net","id","updated","place","type"
"1415512499800","33.4491667","-116.4538333","11.753","0.38","""ml""","16","142","0.1321","0.18","""ci""","id339","1457743617731","""23km NNW of Borrego Springs, CA""","earthquake"
"1415512405850","35.824","-117.7493333","10.961","0.45","""ml""","13","62","0.01993","0.21","""ci""","id340","1457663748230","""19km SE of Little Lake, CA""","earthquake"
"1415512010230","35.8218333","-117.75","10.591","1.16","""ml""","23","46","0.01794","0.18","""ci""","id341","1457689808514","""19km SE of Little Lake, CA""","earthquake"
"1415511844370","35.8213333","-117.7535","10.017","1.71","""ml""","31","40","0.01575","0.18","""ci""","id343","1457663746893","""19km SE of Little Lake, CA""","earthquake"
"1415511420290","36.2483333","-120.8091667","6.163","1.14","""md""","15","145","0.03333","0.03","""nc""","id344","1486263596587","""28km E of King City, California""","earthquake"
"1415511358650","46.3153333","-122.2175","12.526","0.08","""md""","7","136","0.03493","0.08","""uw""","id345","1469216460140","""26km S of Morton, Washington""","earthquake"
"1415510854500","35.816","-117.7533333","11.071","0.47","""ml""","12","61","0.01197","0.19","""ci""","id347","1457743616350","""19km SE of Little Lake, CA""","earthquake"
"1415510477248","41.8779","-119.6311","0","2.8","""ml""","5","145.5","0.501","0.1095","""nn""","id348","1426811958380","""68km ESE of Lakeview, Oregon""","earthquake"
"1415510102500","35.8238333","-117.7398333","13.443","0.69","""ml""","10","52","0.02543","0.18","""ci""","id349","1457730242145","""20km SE of Little Lake, CA""","earthquake"
"1415509920090","35.8118333","-117.7508333","11.531","0.61","""ml""","10","75","0.01188","0.16","""ci""","id350","1457709236889","""19km NNE of Inyokern, CA""","earthquake"
"1415509885338","41.8804","-119.7348","2.5345","0.86","""ml""","4","241.5","0.424","0.1027","""nn""","id351","1420227958317","""61km SE of Lakeview, Oregon""","earthquake"
"1415509851920","47.7496667","-122.8598333","19.497","0.29","""md""","5","200","0.0721","0.13","""uw""","id352","1469216459890","""10km N of Seabeck, Washington""","earthquake"
"1415509787580","37.4816667","-118.7856667","4.565","1.62","""md""","37","154","0.05135","0.06","""nc""","id353","1486263591233","""24km SE of Mammoth Lakes, California""","earthquake"
"1415509772470","36.468","-89.4866667","6.59","1.1","""md""","27","48","0.05649","0.05","""nm""","id354","1460052551120","""10km N of Tiptonville, Tennessee""","earthquake"
"1415509502300","41.777","-112.3526667","9.26","1.4","""md""","15","109","0.1308","0.15","""uu""","id355","1415635795010","""16km WNW of Garland, Utah""","earthquake"
"1415509351362","40.07","-119.6549","13.3487","0.01","""ml""","4","119.82","0.116","0.015","""nn""","id356","1415998741518","""46km N of Spanish Springs, Nevada""","earthquake"
"1415509277790","35.8208333","-117.7378333","13.923","0.71","""ml""","11","93","0.02516","0.19","""ci""","id357","1457743615070","""20km SE of Little Lake, CA""","earthquake"
"1415509084882","41.9139","-119.6155","0.024","1.52","""ml""","3","317.85","0.512","0.0911","""nn""","id358","1420227651314","""67km ESE of Lakeview, Oregon""","earthquake"
"1415508714500","38.8370018","-122.7300034","3.389","0.09","""md""","6","321","0.02342","0.06","""nc""","id359","1486263585371","""Northern California""","earthquake"
"1415508452160","33.67","-116.7668333","16.97","0.66","""ml""","26","47","0.06012","0.25","""ci""","id360","1457730240810","""9km SSW of Idyllwild, CA""","earthquake"
